"imageUrl","title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categoryName","url"
"https://lh3.googleusercontent.com/p/AF1QipM1s_Me9KuxzQ8K1RebAAnMGBm2SXcw0zfL4UDm=w408-h544-k-no","Hoof to Block Butchery","5","67","The Square, Lyndhurst","Holsworthy",,"GB","http://www.hooftoblock.co.uk/","+44 1409 241206","Butcher shop","https://www.google.com/maps/search/?api=1&query=Hoof%20to%20Block%20Butchery&query_place_id=ChIJ7xrAlUNtbEgRmDFJbg0JbFM"
"https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxmtzpJoxk9Sd1eMnOWSVtKlkpFVQtuOBMCMwX4l4JgBtu9qVUkb_BeMlsANbFveWc9Wqzo3jja5QSDVeajHVCko7K-_klCLGBekGw6p0NG3UDVixTxQL-awAUgAPLzr7E8TMsi=w408-h306-k-no","K & F Butchers Ltd","4.8","21","2A King St","Larkhall",,"GB",,"+44 1698 793637","Butcher shop","https://www.google.com/maps/search/?api=1&query=K%20%26%20F%20Butchers%20Ltd&query_place_id=ChIJa6xODRwUiEgRtXCQH-XK5g8"
"https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzjHmGIeK5enC6COx0k-HzXuENfFm89gY7OWoDsevgMkfohrMVUOVN54CP5RzAEExABwq3Pm5zN5baSbiKtP2gWy_xwiNd37AOw7l_iV1zgKs4RQwogL8QtNLpvtCpWdrJ6fCRg7w=w408-h240-k-no-pi15.124508-ya238.85017-ro12.309704-fo100","Wyre Farm Meats","4.8","43","105 Fleetwood Rd N","Thornton-Cleveleys",,"GB",,"+44 1253 829955","Butcher shop","https://www.google.com/maps/search/?api=1&query=Wyre%20Farm%20Meats&query_place_id=ChIJga0H3c1ce0gRlxTe9nz2Yfw"
"https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwrIZOYAwEiHhT9xVy1bKFlh-dTrOsfdah4AXHZqIc5Lhic4S6WynU2KiKrXIQ9ze71JXRYL5-ZcmlZ_xs82DEccpkb3sNDixrfU9-L5OJqeguX_7NZaCUxnuwWjbaXk0AI9zcXwQ=w426-h240-k-no","Cockburn's Butchers","4.8","89","12 Market Pl","Bedale",,"GB","http://www.cockburnsbutchers.co.uk/","+44 1677 422126","Butcher shop","https://www.google.com/maps/search/?api=1&query=Cockburn's%20Butchers&query_place_id=ChIJP1ECzXymfkgREAExvNSS4LY"
"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QFHtOm4oXHAVxwTAD7HfYg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=245.61671&pitch=0&thumbfov=100","Norman S J & Sons","4","10","Middle St","Bridport",,"GB",,"+44 1308 423618","Butcher shop","https://www.google.com/maps/search/?api=1&query=Norman%20S%20J%20%26%20Sons&query_place_id=ChIJt9okchhkckgR0Ep1l_6XXZs"
"https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxiJNEYJ86h6V0wsXJkH7v_fSFHdVGnWQrD-MQjfNElKmvixeSvd09oZl1IqpbIoH6tjDhgSamSVyccEgZRDi7pvjbE3zua6lDmu9eIMkeLgg-xVFL_xOb2clTrnGBAJHYYCc-ohg=w408-h270-k-no","Poxons Butchers Ltd","4.7","51","96 Windmill Ln","Wolverhampton",,"GB","http://www.poxonsbutchers.co.uk/","+44 1902 761693","Butcher shop","https://www.google.com/maps/search/?api=1&query=Poxons%20Butchers%20Ltd&query_place_id=ChIJJyHvN0qbcEgR7pBDS9kHgPc"
"https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyo_bdm0NvkmHOvTCBPelJvEQqjUat70kiYhfSv6aT1sLrp9IWGVQTU_pPNGMJ-sYB3ikOMjXh1kZtm_bppw13lyoq-vUW2LSzbmd6ANJS9KE__5nODELoZJs727VPzCU4_gf-W=w408-h306-k-no","Maguire Meats","5","5","6/7 Church St","Enniskillen",,"GB",,"+44 28 6862 1078","Butcher shop","https://www.google.com/maps/search/?api=1&query=Maguire%20Meats&query_place_id=ChIJKThlMTxKXkgRhWtBhRzv2Ks"
"https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxOp3ZSVO8VF2C6OpTNGaNCsttPS_wx1OwPGWePxpunruUTmxMQqFs9wgPdjZjirGXz2ynnpv98eX4Jbf89Wn64Ac2D10_EDeN3FrNiCJj2hfrzRyiVlpUPlwWk_xB1FHrll-xJOg=w408-h307-k-no","Howells Butchers Ltd","4.9","37","11 Cae Folland","Swansea",,"GB","http://www.howellsbutchers.co.uk/","+44 1792 850371","Butcher shop","https://www.google.com/maps/search/?api=1&query=Howells%20Butchers%20Ltd&query_place_id=ChIJ8Tku85HybkgRs9El2XSJ0B4"
"https://lh3.googleusercontent.com/p/AF1QipMJETYPrngr0xU9kckrP__rT0RLct_puxHJFMqp=w460-h240-k-no","J Cayford Family Butchers","4.9","40","24 Catherine St","Frome",,"GB","http://www.cayfordbutchers.co.uk/","+44 1373 462701","Butcher shop","https://www.google.com/maps/search/?api=1&query=J%20Cayford%20Family%20Butchers&query_place_id=ChIJ79MJOYYsckgRk-uXeviJG_c"
"https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzznbkiHRZ9yy5g4bYS82a7EofLORMnPGwZBYp8e1NfGvz_D-Yj2QbRk4778HUHGQSfWyLrTD6bjdAm4p6raD-vHMnYbEBTTnQCd7KX8NevssjTOSQaC8zbaSIgjMc8l2cbfqI=w408-h408-k-no","CW1 Butchers","5","19","134 Crewe Rd","Crewe",,"GB","https://www.facebook.com/share/18jT6dKwyT/?mibextid=wwXIfr","+44 1270 581279","Butcher shop","https://www.google.com/maps/search/?api=1&query=CW1%20Butchers&query_place_id=ChIJiZZ_rixZekgRoOePiHf7HKc"
"https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyBPZ0qmiMQZDSEtwHdGuAN7V9nbTowBbG8ucz-Bx7F-pPFHIWhyc7pAPXTwkJvxpXEbgCh8MtAuc_28-7HtzLEsdISuTCG6zsK7qcul41-M796hN4FR6MXAZtR2gjBHbuEy19iyA=w408-h278-k-no","GC Smith","4.2","32","Kiosk 2, Market, Bellmead","Chelmsford",,"GB",,"+44 1245 499030","Butcher shop","https://www.google.com/maps/search/?api=1&query=GC%20Smith&query_place_id=ChIJK4v9L9Tr2EcRaIsXXdvY6N8"
"https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzOcswETKrjqQmHnNCzv7TYD3aCXJsVatUOA4Zn8UkHHqTnaRctnBAtHhM3faMUeePtHwZBLMlPNULUWT_h-bC5QcozjoF0VxnFC0T_rlNr-m0smtiSgGdRiEoq5HWQn3GtTlW0sA=w408-h307-k-no","Jerry Howarth Pork Butchers","4.7","46","7 King St","Belper",,"GB",,"+44 1773 822557","Butcher shop","https://www.google.com/maps/search/?api=1&query=Jerry%20Howarth%20Pork%20Butchers&query_place_id=ChIJe45RxuwEfUgR6nXbWodwlcY"
